Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"1 Analisis de requisitos",2025-04-10,2025-04-20,10 days,0,"","",,"<p><br></p>"
2,2,"1.1 Recoleccion de requisitos",2025-04-10,2025-04-14,5 days,0,"","",,"<p><br></p>"
3,3,"1.1.1 Entrevistas con los stakeholders",2025-04-10,2025-04-11,2 days,0,"","",,"<p><br></p>"
3,4,"1.1.2 Encuestas o formularios",2025-04-11,2025-04-11,1 day,0,"","",,"<p><br></p>"
3,5,"1.1.3 Revision de documentos",2025-04-12,2025-04-13,2 days,0,"","",,"<p><br></p>"
4,6,"1.1.3.1 Revision de hojas de calculos Excel",2025-04-12,2025-04-12,1 day,0,"","",,"<p><br></p>"
4,7,"1.1.3.2 Revision de apuntes manuales",2025-04-13,2025-04-13,1 day,0,"","",,"<p><br></p>"
3,8,"1.1.4 Sesiones de brainstorming con el equipo y stakeholders",2025-04-14,2025-04-14,1 day,0,"","",,"<p><br></p>"
3,9,"1.1.5 Estudio de mercado",2025-04-14,2025-04-14,1 day,0,"","",,"<p><br></p>"
2,10,"1.2 Analisis de requisitos funcionales",2025-04-15,2025-04-17,3 days,0,"","",,"<p><br></p>"
3,11,"1.2.1 Definir casos de uso",2025-04-15,2025-04-15,1 day,0,"","",,"<p><br></p>"
3,12,"1.2.2 Historias de usuario",2025-04-15,2025-04-15,1 day,0,"","",,"<p><br></p>"
3,13,"1.2.3 Diagramas de flujo",2025-04-16,2025-04-16,1 day,0,"","",,"<p><br></p>"
3,14,"1.2.4 Revision de requisitos con stakeholders",2025-04-16,2025-04-16,1 day,0,"","",,"<p><br></p>"
3,15,"1.2.5 Identificacion de reglas de negocio",2025-04-17,2025-04-17,1 day,0,"","",,"<p><br></p>"
3,16,"1.2.6 Desarrollo de plan de pruebas funcionales",2025-04-17,2025-04-17,1 day,0,"","",,"<p><br></p>"
2,17,"1.3 Analisis de requisitos no funcionales",2025-04-18,2025-04-20,3 days,0,"","",,"<p><br></p>"
3,18,"1.3.1 Requisitos de rendimiento",2025-04-18,2025-04-18,1 day,0,"","",,"<p><br></p>"
3,19,"1.3.2 Requisitos de seguridad",2025-04-19,2025-04-19,1 day,0,"","",,"<p><br></p>"
3,20,"1.3.3 Requisitos de disponibilidad",2025-04-20,2025-04-20,1 day,0,"","",,"<p><br></p>"

1,21,"2 Diseño",2025-04-21,2025-06-01,1 day,1,"","",,"<p><br></p>"
2,22,"2.1 Arquitectura y componentes",2025-04-21,2025-05-04,1 day,1,"","",,"<p><br></p>"
3,23,"2.1.1 Diseño de arquitectura",2025-04-21,2025-05-04,1 day,1,"","",,"<p><br></p>"
4,27,"2.1.1.1 Definicion del estilo arquitectonico",2025-04-21,2025-04-21,1 day,1,"","",,"<p><br></p>"
4,28,"2.1.1.2 Modelado de la arquitectura",2025-04-22,2025-04-22,1 day,1,"","",,"<p><br></p>"
5,29,"2.1.1.2.1 Creacion de diagrama de componentes",2025-04-22,2025-04-22,1 day,1,"","",,"<p><br></p>"
5,30,"2.1.1.2.2 Creacion de diagrama de clases de alto nivel",2025-04-23,2025-04-23,1 day,1,"","",,"<p><br></p>"
5,31,"2.1.1.2.3 Creacion de diagrama de despliegue",2025-04-24,2025-04-24,1 day,1,"","",,"<p><br></p>"
5,32,"2.1.1.2.4 Creacion de diagrama de secuencia",2025-04-25,2025-04-25,1 day,1,"","",,"<p><br></p>"
5,33,"2.1.1.2.5 Creacion de diagrama de paquete",2025-04-26,2025-04-26,1 day,1,"","",,"<p><br></p>"
4,34,"2.1.1.3 Definicion de interfaces y contratos",2025-04-27,2025-04-27,1 day,1,"","",,"<p><br></p>"
4,35,"2.1.1.4 Seleccion de tecnologias",2025-04-28,2025-04-28,1 day,1,"","",,"<p><br></p>"
4,36,"2.1.1.5 Revision y validacion de la arquitectura",2025-04-29,2025-04-29,1 day,1,"","",,"<p><br></p>"
4,37,"2.1.1.6 Documentacion de la arquitectura",2025-04-30,2025-04-30,1 day,1,"","",,"<p><br></p>"
3,24,"2.1.2 Diseño de la base de datos",2025-05-01,2025-05-01,1 day,1,"","",,"<p><br></p>"
4,38,"2.1.2.1 Analisis de requisitos de datos",2025-05-01,2025-05-01,1 day,1,"","",,"<p><br></p>"
5,45,"2.1.2.1.1 Revision de requisitos funcionales",2025-05-02,2025-05-02,1 day,1,"","",,"<p><br></p>"
5,46,"2.1.2.1.2 Identificacion de entidades y relaciones",2025-05-03,2025-05-03,1 day,1,"","",,"<p><br></p>"
5,47,"2.1.2.1.3 Definicion de reglas de negocio",2025-05-04,2025-05-04,1 day,1,"","",,"<p><br></p>"
4,39,"2.1.2.2 Diseño conceptual",2025-05-05,2025-05-05,1 day,1,"","",,"<p><br></p>"
5,48,"2.1.2.2.1 Creacion del diagrama entidad-relacion (ER)",2025-05-05,2025-05-05,1 day,1,"","",,"<p><br></p>"
5,49,"2.1.2.2.2 Identificacion de claves primarias y foraneas",2025-05-06,2025-05-06,1 day,1,"","",,"<p><br></p>"
5,50,"2.1.2.2.3 Validacion del modelo conceptual",2025-05-07,2025-05-07,1 day,1,"","",,"<p><br></p>"
4,40,"2.1.2.3 Diseño logico",2025-05-08,2025-05-08,1 day,1,"","",,"<p><br></p>"
5,51,"2.1.2.3.1 Conversion del modelo ER al modelo relacional",2025-05-08,2025-05-08,1 day,1,"","",,"<p><br></p>"
5,52,"2.1.2.3.2 Normalizacion de tablas",2025-05-09,2025-05-09,1 day,1,"","",,"<p><br></p>"
5,53,"2.1.2.3.3 Definicion de restricciones",2025-05-10,2025-05-10,1 day,1,"","",,"<p><br></p>"
4,54,"2.1.2.4 Diseño fisico",2025-05-11,2025-05-11,1 day,1,"","",,"<p><br></p>"
5,55,"2.1.2.4.1 Definicion de tipos de datos",2025-05-11,2025-05-11,1 day,1,"","",,"<p><br></p>"
5,56,"2.1.2.4.2 Diseño de indices y claves compuestas",2025-05-12,2025-05-12,1 day,1,"","",,"<p><br></p>"
5,57,"2.1.2.4.3 Consideraciones de rendimiento",2025-05-13,2025-05-13,1 day,1,"","",,"<p><br></p>"
4,41,"2.1.2.5 Definicion de politicas de integridad y seguridad",2025-05-14,2025-05-14,1 day,1,"","",,"<p><br></p>"
4,42,"2.1.2.6 Validacion del diseño",2025-05-15,2025-05-15,1 day,1,"","",,"<p><br></p>"
5,58,"2.1.2.6.1 Revision del modelo con el equipo",2025-05-15,2025-05-15,1 day,1,"","",,"<p><br></p>"
5,59,"2.1.2.6.2 Simulacion de consultas frecuentes o criticas",2025-05-16,2025-05-16,1 day,1,"","",,"<p><br></p>"
5,60,"2.1.2.6.3 Aprobacion del diseño",2025-05-17,2025-05-17,1 day,1,"","",,"<p><br></p>"
4,43,"2.1.2.7 Documentacion",2025-05-18,2025-05-18,1 day,1,"","",,"<p><br></p>"
5,61,"2.1.2.7.1 Documentacion del modelo de datos",2025-05-18,2025-05-18,1 day,1,"","",,"<p><br></p>"
5,62,"2.1.2.7.2 Diccionario de datos",2025-05-19,2025-05-19,1 day,1,"","",,"<p><br></p>"
4,44,"2.1.2.8 Mapeo del diseño en el ORM",2025-05-20,2025-05-20,1 day,1,"","",,"<p><br></p>"
5,63,"2.1.2.8.1 Creacion de modelos  y migraciones",2025-05-20,2025-05-20,1 day,1,"","",,"<p><br></p>"
5,64,"2.1.2.8.2 Definicion de relaciones en los modelos",2025-05-21,2025-05-21,1 day,1,"","",,"<p><br></p>"
3,25,"2.1.3 Diseño de la logica de negocio",2025-05-22,2025-05-22,1 day,1,"","",,"<p><br></p>"
3,26,"2.1.4 Diseño de la interfaces externas",2025-05-23,2025-05-23,1 day,1,"","",,"<p><br></p>"
2,65,"2.2 Interfaz y experiencia de usuario",2025-05-24,2025-05-24,1 day,1,"","",,"<p><br></p>"
3,66,"2.2.1 Diseño de la interfaz de usuario",2025-05-24,2025-05-24,1 day,1,"","",,"<p><br></p>"
4,67,"2.2.1.1 Recoleccion de requisitos de UI",2025-05-24,2025-05-24,1 day,1,"","",,"<p><br></p>"
4,68,"2.2.1.2 Análisis de usuarios",2025-05-25,2025-05-25,1 day,1,"","",,"<p><br></p>"
4,69,"2.2.1.3 Creacion de bocetos",2025-05-26,2025-05-26,1 day,1,"","",,"<p><br></p>"
4,70,"2.2.1.4 Diseño de prototipos",2025-05-27,2025-05-27,1 day,1,"","",,"<p><br></p>"
4,71,"2.2.1.5 Diseño visual (UI)",2025-05-28,2025-05-28,1 day,1,"","",,"<p><br></p>"
4,72,"2.2.1.6 Documentacion del diseño",2025-05-29,2025-05-29,1 day,1,"","",,"<p><br></p>"
3,73,"2.2.2 Diseño de flujos de usuario",2025-05-30,2025-05-30,1 day,1,"","",,"<p><br></p>"
4,74,"2.2.2.1 Análisis de escenarios de uso",2025-05-30,2025-05-30,1 day,1,"","",,"<p><br></p>"
4,75,"2.2.2.2 Creación de flujos de usuari",2025-05-31,2025-05-31,1 day,1,"","",,"<p><br></p>"
4,76,"2.2.2.3 Mapeo de navegación del sistema",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,77,"2.2.2.4 Validación de flujos con usuarios o stakeholders",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
3,78,"2.2.3 Diseño de estilos visuales",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,79,"2.2.3.1 Definicion de paleta de colores",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,80,"2.2.3.2 Selecion de tipografia",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,81,"2.2.3.3 Diseño de iconografia",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,82,"2.2.3.4 Estilo de componentes UI",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,83,"2.2.3.5 Diseño de layout para los diferentes modulos",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
2,84,"2.3 Seguridad y prueba",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
3,85,"2.3.1 Diseño de seguridad",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,86,"2.3.1.1 Diseño de la arquitectura segura",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,87,"2.3.1.2 Diseño del sistema de autenticacion y autorizacion",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,88,"2.3.1.3 Diseño de politicas de contraseñas y recuperacion",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
3,89,"2.3.2 Diseño de pruebas",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,90,"2.3.2.1 Diseño de datos de prueba",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,91,"2.3.2.2 Diseño de pruebas de rendimiento y carga",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"
4,92,"2.3.2.3 Definicion de citerios de aceptacion",2025-06-01,2025-06-01,1 day,1,"","",,"<p><br></p>"

1,93,"3 Desarrollo",2025-06-01,2025-08-25,1 day,1,"","",,"<p><br></p>"
2,109,"3.1 Base de datos",2025-06-01,2025-06-20,1 day,1,"","",,"<p><br></p>"
3,116,"3.1.1 Creacion de la base de datos",2025-06-01,2025-06-03,3 days,1,"","",,"<p><br></p>"
3,117,"3.1.2 Poblacion inicial",2025-06-04,2025-06-06,3 days,1,"","",,"<p><br></p>"
3,118,"3.1.3 Migraciones",2025-06-07,2025-06-09,3 days,1,"","",,"<p><br></p>"
3,119,"3.1.4 Implementacion de procedimientos y almacenamiento",2025-06-10,2025-06-14,5 days,1,"","",,"<p><br></p>"
3,120,"3.1.5 Backups",2025-06-15,2025-06-16,2 days,1,"","",,"<p><br></p>"
3,121,"3.1.6 Optimizacion de consultas",2025-06-17,2025-06-20,4 days,1,"","",,"<p><br></p>"
2,94,"3.2 Desarrollo del Backend",2025-06-21,2025-07-15,1 day,1,"","",,"<p><br></p>"
3,95,"3.2.1 Diseño de la arquitectura del servidor",2025-06-21,2025-06-24,4 days,1,"","",,"<p><br></p>"
3,96,"3.2.2 Implementacion de la Api",2025-06-25,2025-06-30,6 days,1,"","",,"<p><br></p>"
3,99,"3.2.3 Gestion de autenticacion y autorizacion",2025-07-01,2025-07-03,3 days,1,"","",,"<p><br></p>"
3,97,"3.2.4 Conexion a la base de datos",2025-07-04,2025-07-05,2 days,1,"","",,"<p><br></p>"
3,98,"3.2.5 Validacion de datos",2025-07-06,2025-07-08,3 days,1,"","",,"<p><br></p>"
3,100,"3.2.6 Manejo de errores",2025-07-09,2025-07-10,2 days,1,"","",,"<p><br></p>"
3,101,"3.2.7 Pruebas del backend",2025-07-11,2025-07-15,5 days,1,"","",,"<p><br></p>"
2,102,"3.3 Desarrollo del Frontend",2025-07-16,2025-08-15,1 day,1,"","",,"<p><br></p>"
3,103,"3.3.1 Diseño de componentes",2025-07-16,2025-07-19,4 days,1,"","",,"<p><br></p>"
3,104,"3.3.2 Integracion del backend",2025-07-20,2025-07-25,6 days,1,"","",,"<p><br></p>"
3,105,"3.3.3 Gestion de estados",2025-07-26,2025-07-28,3 days,1,"","",,"<p><br></p>"
3,106,"3.3.4 Autenticacion y autorizacion por roles",2025-07-29,2025-07-31,3 days,1,"","",,"<p><br></p>"
3,107,"3.3.5 Configuracion del enrutamiento",2025-08-01,2025-08-03,3 days,1,"","",,"<p><br></p>"
3,108,"3.3.6 Pruebas unitarias",2025-08-04,2025-08-15,12 days,1,"","",,"<p><br></p>"
2,110,"3.3 Pruebas y ajustes finales",2025-08-16,2025-08-25,10 days,1,"","",,"<p><br></p>"

1,122,"4 Pruebas y actualizaciones",2025-08-25,2025-09-09,1 day,1,"","",,"<p><br></p>"
2,123,"4.1 Pruebas",2025-08-25,2025-09-01,1 day,1,"","",,"<p><br></p>"
3,124,"4.1.1 Implementacion de pruebas unitarias",2025-08-25,2025-08-26,2 days,1,"","",,"<p><br></p>"
3,125,"4.1.2 Implementacion de pruebas de seguridad",2025-08-27,2025-08-28,2 days,1,"","",,"<p><br></p>"
3,126,"4.1.3 Pruebas funcionales",2025-08-29,2025-08-30,2 days,1,"","",,"<p><br></p>"
3,127,"4.1.4 Pruebas de interfaz",2025-08-31,2025-09-01,2 days,1,"","",,"<p><br></p>"
3,128,"4.1.5 Pruebas de rendimiento",2025-09-02,2025-09-05,4 days,1,"","",,"<p><br></p>"
2,129,"4.2 Revision final",2025-09-06,2025-09-09,1 day,1,"","",,"<p><br></p>"
3,130,"4.2.1 Actualizacion y mejoras del sistemas",2025-09-06,2025-09-07,2 days,1,"","",,"<p><br></p>"
3,131,"4.2.3 Ciclo de actualizacion",2025-09-08,2025-09-08,1 day,1,"","",,"<p><br></p>"
3,132,"4.2.4 Correcion de errores",2025-09-09,2025-09-09,1 day,1,"","",,"<p><br></p>"
1,133,"5 Implementacion final",2025-09-10,2025-09-15,1 day,1,"","",,"<p><br></p>"
2,134,"5.1 Documentacion final",2025-09-10,2025-09-12,1 day,1,"","",,"<p><br></p>"
3,135,"5.1.1 Documentacion tecnica",2025-09-10,2025-09-11,2 days,1,"","",,"<p><br></p>"
3,136,"5.1.2 Documentacion de usuario",2025-09-12,2025-09-12,1 day,1,"","",,"<p><br></p>"
3,137,"5.1.3 Diagramas de arquitectura del sistema",2025-09-13,2025-09-13,1 day,1,"","",,"<p><br></p>"
3,138,"5.1.4 Diagrama de flujo del proceso",2025-09-13,2025-09-13,1 day,1,"","",,"<p><br></p>"
2,139,"5.2 Cierre del proyecto",2025-09-14,2025-09-15,1 day,1,"","",,"<p><br></p>"
3,140,"5.2.1 Entrega final",2025-09-14,2025-09-14,1 day,1,"","",,"<p><br></p>"
4,141,"5.2.2 Reunion para la entrega del sistema",2025-09-15,2025-09-15,1 day,1,"","",,"<p><br></p>"
